sigle-atom,MagpieData minimum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData maximum CovalentRadius,MagpieData mode NdUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode GSmagmom,MagpieData mean SpaceGroupNumber,vpa,packing fraction,sine coulomb matrix eig 0,sine coulomb matrix eig 3,sine coulomb matrix eig 5,sine coulomb matrix eig 6,sine coulomb matrix eig 8,sine coulomb matrix eig 11,SOAP_40,magmom,theoretical
0.241,80,7,84.8,197.356,171.0672,2,15.4,0.72,139,0,2,2.6,0.72,0,35.8,106.0553367,0.037099834,6178.239903,319.909455,73.84884727,58.23089136,67.34951344,0,0,1.167,1
4.055,52,40,72.45454545,1607.510909,1208.448595,15,9.454545455,4.859504132,139,5,4,3.454545455,1.421487603,0.000310121,169.2727273,17.43351132,0.272343214,1368.91138,984.1449547,72.81758337,39.64589587,28.94558723,0,9.6179701,14.176,4
2.414,49,38,66.77777778,2255.4,1045.066667,10,10.88888889,4.345679012,139,5,4,4.444444444,1.382716049,0,169.1111111,19.59974307,0.295332578,1228.113425,897.9803784,70.82278712,39.57273412,28.92471538,0,0,8.753,3
1.941,58,37,76.5,1016.9,751.1,8,13,4,126,0,2,2,1,0,129,64.02691645,0.13023133,1288.935346,2450.596958,0,0,0,0,0,4.012,2
2.681,58,29,72.5,911.4,856.6,7,12.5,3.5,126,0,1,2.5,0.5,0,103,63.09209825,0.088844512,1436.079604,67.29265356,0,0,0,0,0,5.836,3
3.264,55,35,72.5,1266.83,544.17,8,12,4,138,0,2,3,1,0,190.5,59.69745171,0.192538207,1124.164091,6382.231076,0,0,0,0,0,6.459,3
0.801,11,85,53.5,1100.425,713.575,14,10,7,170,0,8,5,4,0,129,87.88677613,0.163001343,706.5064406,6727.314226,0,0,0,0,0,1.63,1
0.771,12,84,54,1092.925,706.075,14,10,7,190,0,8,5,4,0,129,102.7992189,0.174724405,3168.07293,6737.991007,0,0,0,0,0,1.565,1
0.568,47,43,68.5,1736.33,1013.67,11,10.5,5.5,164,0,5,4.5,2.5,0,190.5,54.7392055,0.221633568,3404.519152,6485.319114,0,0,0,0,0,1.181,1
3.679,49,28,58.33333333,2727.666667,730.2222222,8,8.666666667,3.555555556,139,5,2,5.333333333,0.888888889,0,217.3333333,39.70887963,0.205032526,1123.960173,0,0,0,0,0,0,6.884,3
3.599,55,35,78.33333333,1085.44,483.7066667,8,13.33333333,3.555555556,138,0,2,2.666666667,0.888888889,0,177.6666667,66.6176968,0.172537342,1224.113015,0,0,0,0,0,0,7.522,4
1.359,61,35,84.33333333,833.9,596.0666667,7,14.66666667,3.111111111,139,0,1,1.333333333,0.444444444,0,117.6666667,107.8926298,0.102861754,1474.578087,0,0,0,0,0,0,3.456,2
1.396,63,31,83.66666667,794.8666667,831.0222222,7,14.66666667,3.111111111,136,0,1,1.333333333,0.444444444,0,117.6666667,73.04748894,0.085257665,17384.37602,0,0,0,0,0,0,3.665,2
3.284,56,40,82.66666667,1126.9,986.7333333,9,14,4,146,0,3,2,1.333333333,0,107.3333333,80.47835426,0.133331308,4300.050269,0,0,0,0,0,0,7.316,3
2.642,49,38,69.8,1658.52,1282.976,10,11.6,4.48,139,0,4,4,1.6,0,135.2,28.7739622,0.182348144,1112.702751,75.16083326,0,0,0,0,0,4.542,3
2.59,58,37,85.75,641.35,563.325,8,15,3,126,0,2,1.5,0.75,0,96.5,89.05710056,0.082581494,1254.228848,2521.96084,2446.453196,2390.282623,0,0,0,6.285,2
0.73,64,30,86.5,468.1425,444.81375,6,15.5,2.25,132,0,0,1,0,0,104.25,71.59573967,0.079866363,1750.766114,435.7405697,412.8025794,424.3923951,0,0,0,3.572,1
4.312,52,42,83.5,508.45,505.275,10,14.5,3.75,139,0,4,2,1.5,0,102.25,81.86409827,0.073476687,1292.110443,439.0753285,424.6687155,411.5411679,0,0,6.302047348,7.744,4
0.804,47,47,82.25,816.2,966.9,12,14,4.5,164,0,6,2.5,2.25,0,105.25,66.26803559,0.095583115,3939.081441,446.0812053,413.8807756,411.9532544,0,0,0,1.678,1
3.823,56,39,85.25,851.1,877.95,9,14.75,3.375,146,0,3,1.75,1.125,0,96.5,81.78830729,0.086548591,4819.046924,2492.431749,2397.462965,2441.016731,0,0,0,9.204,4
0.721,44,52,83,822.1375,652.93125,13,13.75,4.875,175,0,7,2.75,2.625,0,96.5,101.3204101,0.123569999,3340.080494,6861.164931,6595.849676,6603.055631,0,0,0,1.413,1
3.223,49,46,77.33333333,944.72,823.52,11,13,4.666666667,139,0,5,3,2,0,121,59.80578789,0.122917071,2614.557971,975.7082901,364.963476,0,0,0,0,5.858,3
4.585,45,51,84.125,793.2625,609.61875,13,14.125,4.3125,175,0,7,2.375,2.0625,0,99.375,103.5205049,0.115987665,14475.33937,6831.477481,6597.82465,6615.731088,0,0,6.250434435,4.666,4
3.8,49,44,78.33333333,762.3333333,945.1111111,11,13.33333333,4.888888889,139,0,5,2.666666667,2.222222222,0,86.33333333,106.9361533,0.039092603,1080.636248,87.47574533,85.71917341,0,0,0,0,7.606,4
0.346,2,75,52,2672.29,1534.28,13,9.666666667,5.777777778,166,0,3,3,1.333333333,0,205.6666667,83.59635716,0.108866524,176.8497782,71.93734756,-5.628453514,0,0,0,0,1.272,0
0.396,11,83,52.5,992.8,821.2,14,10,7,170,0,8,5,4,0,129,94.53603677,0.112899142,848.60337,426.1491854,0,0,0,0,0,0.793,0
3.338,47,42,77.28571429,1057.142857,804.4897959,11,13,4.285714286,164,0,5,3.285714286,1.836734694,0,75.42857143,98.45600846,0.08142465,4293.334283,975.3943258,2474.853416,2427.179519,2255.453126,2149.839974,0,5.895,3
4.522,52,37,79.71428571,622.0714286,256.2653061,9,13.85714286,2.448979592,142,0,3,3.285714286,1.469387755,0,78.71428571,84.53822422,0.115203352,6093.777344,2603.96352,2161.028477,2247.624121,0,0,9.93E-08,8.94,4
1.079,46,47,82.07692308,484.7630769,595.7334911,12,14.46153846,2.911242604,153,0,6,2.615384615,1.349112426,0,67.38461538,96.70037402,0.04055407,6789.719127,885.3407474,83.79051345,53.77275003,79.00788411,64.98989711,0,1.912,1
1.698,61,33,82.86666667,1679.422667,1721.338844,16,10.8,5.333333333,124,0,3,2.533333333,1.297777778,0,178.7333333,77.4316142,0.025714387,1497.732041,114.0487371,58.11561112,26.08600178,29.08420835,2.106702271,0,3.899,2
3.217,55,39,74.5,991.3,819.7,9,12.5,4.5,132,0,3,2.5,1.5,0,146.5,57.6559171,0.136003652,1332.710838,428.0356001,0,0,0,0,0,6.43,3
0.419,11,85,53.5,1100.425,713.575,14,10,7,170,0,8,5,4,0,129,58.95387181,0.242997823,687.6352693,6775.958938,0,0,0,0,0,0.841,0
2.632,58,36,82,703.7333333,709.5111111,8,14.33333333,3.555555556,126,0,2,1.666666667,0.888888889,0,107.3333333,63.71468156,0.097746049,1378.69333,0,0,0,0,0,0,5.708,3
0.47,64,23,79.33333333,489.1233333,579.0977778,5,14.33333333,2.222222222,132,0,1,1.666666667,0.444444444,0,83,70.43090682,0.05734013,1618.703085,0,0,0,0,0,0,1.678,1
4.624,52,42,80,620.7333333,598.8444444,10,13.66666667,4.444444444,139,0,4,2.333333333,1.777777778,0,115,70.06480279,0.094539245,1149.455336,0,0,0,0,0,0.128213673,9.453,4
1.506,61,35,84.33333333,833.9,596.0666667,7,14.66666667,3.111111111,139,0,1,1.333333333,0.444444444,0,117.6666667,78.71943112,0.140982029,1466.024844,0,0,0,0,0,0,3.719,2
1.325,62,33,84,786.55,694.3333333,7,14.66666667,3.111111111,139,0,1,0.666666667,0.444444444,0,117.6666667,78.70627323,0.102640243,4957.27723,0,0,0,0,0,0,3.682,2
1.538,63,30,83,716.1333333,883.5111111,7,14.66666667,3.111111111,136,0,1,1.333333333,0.444444444,0,85,47.14071295,0.080278748,17379.48865,0,0,0,0,0,0,3.837,2
1.796,56,33,78,1198.333333,939.1111111,8,13.33333333,3.555555556,146,0,2,2.666666667,0.888888889,0,74,62.0303042,0.11792099,4473.466061,0,0,0,0,0,0,3.811,2
1.749,43,52,77.66666667,824.2,744.5333333,13,12.66666667,5.777777778,160,0,7,3.333333333,3.111111111,0,107.3333333,73.33753933,0.110154105,814.622512,0,0,0,0,0,0,3.476,2
2.731,46,50,79.33333333,985.5666667,798.2888889,12,13,5.333333333,153,0,6,3,2.666666667,0,119,111.638874,0.099410042,920.1907081,0,0,0,0,0,0,5.3,3
2.803,49,39,70.2,1791.944,1122.8672,10,11.6,4.48,139,0,4,4,1.6,0,158.4,31.35325751,0.20924407,1143.650826,383.5127286,0,0,0,0,0,4.651,3
4.417,52,41,74.4,641.61,701.912,10,12.6,4.48,139,0,4,3,1.6,0,131.6,31.57137469,0.159547216,1236.763057,99.70379358,0,0,0,0,8.142089636,8.739,4
0.365,66,30,88.5,624.47,356.43,6,15.5,2.25,139,0,0,1,0,0,104.25,106.0169936,0.105615416,18711.01195,6823.72607,6594.684791,6658.340259,0,0,0,2.909,1
0.608,64,30,86.5,468.1425,444.81375,6,15.5,2.25,132,0,0,1,0,0,104.25,80.28338994,0.07122384,1786.823508,421.1684764,423.6481484,410.6005479,0,0,0,3.31,1
4.453,52,44,85,669.8875,424.55625,10,14.5,3.75,139,0,4,2,1.5,0,102.25,98.264369,0.116970581,1070.337667,6815.447584,6583.780896,6661.944937,0,0,6.265315657,7.915,4
2.08,54,41,84.75,1064.1,1197.45,10,14.5,3.75,151,0,4,2,1.5,0,96.5,80.02705579,0.091899775,16510.6681,2508.022761,2401.85208,2421.630593,0,0,0,4.266,2
0.71,44,52,83,822.1375,652.93125,13,13.75,4.875,175,0,7,2.75,2.625,0,96.5,102.0729441,0.122658978,3339.70503,6836.183812,6627.732053,6558.999336,0,0,0,1.322,1
3.329,49,46,77.66666667,979.9333333,800.0444444,11,13,4.666666667,139,0,5,3,2,0,102.3333333,65.02991397,0.124226383,977.6162657,2496.898245,2268.038008,0,0,0,0,5.919,3
1.408,61,34,81,682.8666667,696.7555556,7,14.33333333,2.888888889,124,0,1,1.666666667,0.444444444,0,100.3333333,43.75313037,0.133943938,2645.869756,1402.112208,66.68683878,0,0,0,0,2.133,1
2.717,49,45,75,804.8833333,916.7444444,11,12.66666667,4.444444444,139,0,5,3.333333333,1.777777778,0,162.3333333,44.71355854,0.125488984,1103.965454,433.5527168,48.13051263,0,0,0,0,4.175,3
1.646,45,50,84.5,728.6,694.2,13,14.5,3.75,175,0,7,2,1.5,0,100.375,84.71633343,0.094622077,14383.57403,2506.141705,2403.749534,2383.965641,0,0,0,1.856,2
3.681,48,39,74.11111111,1009.866667,1273.422222,11,12.44444444,4.740740741,170,0,5,3.555555556,2.074074074,0,84.33333333,86.93490018,0.054271534,15783.24024,14248.62854,1010.731738,113.1363097,87.08283738,75.26604026,0,7.524,3
3.658,55,34,81,722.06,435.576,8,14.2,2.48,132,0,2,2.6,0.72,0,54.6,113.1602089,0.061496368,3041.721839,1252.060636,2301.686698,2255.18754,2233.088065,0,0,7.704,4
3.863,52,35,78.8,456.802,482.4024,9,13.8,2.72,146,0,3,3,1.2,0,95.6,52.57036553,0.146993084,20628.06636,19110.43013,1075.825965,1075.463774,113.3099532,73.55095716,7.93710623,12.747,4
1.674,61,21,76.83333333,1593.858333,1530.808333,5,13.83333333,1.277777778,124,0,2,3.166666667,0.555555556,0,199.1666667,137.5021795,0.020157916,1542.762783,40.31870339,47.08358095,55.35560142,59.26947227,25.6819215,0,4.446,2
1.922,46,49,76,834.5333333,898.9777778,12,12.66666667,5.111111111,153,0,6,3.333333333,2.444444444,0,101.6666667,77.63027714,0.075492022,2637.602989,872.4329973,66.55800403,0,0,0,0,3.761,2
0,12,82,70,520.05,639.475,14,13,5,190,0,8,3.5,2.75,0,70.5,99.75263681,0.076257062,3412.677958,433.8461185,71.4259226,63.49198865,0,0,0,0,0
3.287,49,39,80.8,637.969,427.7984,10,14.3,2.32,145,0,5,2.5,0.9,0,87.8,107.5807137,0.057781404,5380.110467,990.8775324,481.1197218,246.773517,306.2220381,393.8408385,0,5.881,3
3.158,52,37,78.46153846,1976.707692,1704.269822,9,14.07692308,1.159763314,139,0,3,3.461538462,0.733727811,0,168.0769231,103.8075406,0.027756402,2472.860339,101.5626244,68.54958773,51.18504483,17.55988322,30.26962618,0.001324166,5.838,4
1.066,46,46,83.77777778,331.0022222,447.7767901,15,11.44444444,6.074074074,153,0,6,2.333333333,1.037037037,0,76.77777778,78.46481294,0.030206624,2478.909267,909.3831608,0.309214628,0.259868238,0.078978515,74.00282997,0,1.918,1
0.709,43,34,56.6,2693.8,903.36,10,8,4.8,160,8,4,6.4,1.92,2.25E-05,194,32.72177705,0.228322753,955.8470747,805.3107894,0,0,0,0,0,1.204,1
3.304,52,35,68.11111111,1961.622222,1240.918519,9,11.33333333,3.851851852,139,5,3,4,0.888888889,0.000310121,163.7777778,20.13271089,0.287514318,1356.502846,989.4764975,70.93892171,39.56324707,28.88219716,0,9.477681204,12.389,4
3.413,55,39,74.5,991.3,819.7,9,12.5,4.5,132,0,3,2.5,1.5,0,146.5,42.20779779,0.185781199,1386.202692,431.2634698,0,0,0,0,0,7,4
