,Formula,SGnumber,Magmom,Magnetic
772,Ag2Cl2,164,0.000,False
773,AlN,187,0.000,False
774,Fe2Br2,129,6.001,True
775,Cd2Se2,164,0.000,False
776,Hf2Cl2,164,0.000,False
777,Fe2S2,129,0.000,False
778,Rb2I2,129,0.000,False
779,In2O2,187,0.000,False
780,Ni2S2,129,0.000,False
781,Rh2O2,6,0.000,False
782,Tl2O2,187,0.000,False
783,Pb2Se2,129,0.000,False
784,Ru2S2,164,0.000,False
785,Ta2S2,164,0.000,False
786,Sn2Se2,31,0.000,False
787,Ti2Te2,164,0.000,False
788,Fe2Se4,11,0.000,False
789,CoI2,115,3.000,True
790,FeCl2,187,4.000,True
791,HfS2,164,0.000,False
792,PbCl2,187,0.000,False
793,MgBr2,164,0.000,False
794,MnI2,164,5.000,True
795,MnTe2,164,2.708,True
796,NbO2,187,0.495,True
797,Ni2S4,14,0.000,False
798,PbBr2,187,0.000,False
799,PbS2,164,0.000,False
800,Pd2Te4,14,0.000,False
801,PtTe2,164,0.000,False
802,HgH2S2,5,0.000,False
803,Ti2F2N,164,0.000,False
804,ReS2,115,0.000,False
805,Rh2Cl4,12,1.998,True
806,Rh4S8,2,0.000,False
807,RuO2,115,0.000,False
808,InPd5Br2,123,0.000,False
809,Cu2ReF6,2,3.000,True
810,ScCl2,187,0.981,True
811,ScSe2,187,0.998,True
812,TaSe2,164,0.000,False
813,TiSb2,187,0.000,False
814,VO2,187,0.688,True
815,Zr2Br4,11,0.000,False
816,V2BS2,164,0.000,False
817,Sc2CF2,164,0.000,False
818,Ta2CO2,164,0.000,False
819,Zr2CSe2,164,0.000,False
820,Nb2Se6,59,0.000,False
821,Sc2S6,59,0.000,False
822,Ti2Cl6,189,2.000,True
823,Y2Br6,162,0.000,False
824,CrMo3S8,25,0.000,False
825,MoW3S8,25,0.000,False
826,Hf3ZrS8,6,0.000,False
827,Al2I2Se2,59,0.000,False
828,BiBrS,156,0.000,False
829,BiClTe,156,0.000,False
830,ZrBrCl,156,0.000,False
831,Hf2Br2S2,59,0.000,False
832,Sn2Br2N2,59,0.000,False
833,Ti4Br4S4,31,3.533,True
834,Zr2Br2Se2,59,0.000,False
835,Ir2Cl2S2,59,0.000,False
836,Ni2Cl2Se2,59,0.000,False
837,Sc2Cl2S2,59,0.000,False
838,Ti2Cl2Se2,59,0.000,False
839,Cr2I2S2,59,6.000,True
840,HfSSe,156,0.000,False
841,Ir2I2O2,59,0.000,False
842,Sc2I2N2,59,0.000,False
843,Ti4I4Se4,7,3.808,True
844,TaSSe,156,0.000,False
845,VSTe,156,1.133,True
846,Ag2Br2S4,17,0.000,False
847,Sc2P2S6,157,0.000,False
848,FeHfBr6,149,0.000,False
849,Cu2Se2,129,0.000,False
850,LiC12,191,0.000,False
851,Nb4S12,11,0.000,False
852,Pd4I8,14,0.000,False
853,Ta4Se2,129,0.000,False
854,Y2I2,164,1.306,True
855,Bi2Cu2S4,26,0.000,False
856,Cd2Mn3O8,10,9.000,True
857,Cr2Si2Te6,162,6.000,True
858,Cu2S4Sb2,26,0.000,False
859,Ga2Cl2Te2,31,0.000,False
860,Mo2V2O10,85,1.898,True
861,Nb2I4O2,25,0.000,False
862,O8P2Sb2,11,0.000,False
863,Pd4P4S4,13,0.000,False
864,RuCl2O,47,0.000,False
865,Sr2O12P4,2,0.000,False
866,PdTe2,187,0.000,False
867,V4F12O4,14,0.000,False
868,Zn2O6Si2,162,0.000,False
869,AgScP2Se6,149,0.000,False
870,Ca2Cl4H8O4,53,0.000,False
871,Ti3C2H2Se2,187,0.000,False
872,Mn2Cl2S4Sb2,26,9.993,True
873,ZrH2O6P2,164,0.000,False
874,Cu2C6H8I2N2,2,0.000,False
875,Cr3C2H2O2,187,6.049,True
876,Y3C2F2,187,0.853,True
877,Bi2S3,164,0.000,False
878,Cr4C3F2,164,2.044,True
879,Ti4C3O2,164,0.000,False
880,Y4N3O2,164,0.000,False
881,Hf4N3,164,0.000,False
882,Co2S2,123,0.508,True
883,Cu2Se2,164,0.000,False
884,Ti2I2,129,0.000,False
885,Ge2S2,31,0.000,False
886,Ni2S2,164,0.000,False
887,Os2O2,187,0.000,False
888,PbSe,156,0.000,False
889,Pd2Te2,164,0.000,False
890,Pt2Te2,187,0.000,False
891,SnSe,156,0.000,False
892,V2Se2,164,0.000,False
893,Zr2Se2,164,0.000,False
894,Zn2Te2,164,0.000,False
895,BiSe2,164,0.000,False
896,Cr2Se4,11,0.000,False
897,FeCl2,164,0.000,False
898,GeSe2,164,0.000,False
899,HfCl2,187,0.000,False
900,MnI2,115,5.000,True
901,MoAs2,164,0.000,False
902,HfSb2,187,0.000,False
903,Ir4Se8,2,0.000,False
904,NiBr2,115,1.999,True
905,PdTe2,164,0.000,False
906,Li2Pt,187,0.000,False
907,PtTe2,187,0.000,False
908,Ru2S4,11,0.000,False
909,SnTe2,164,0.000,False
910,TaAs2,164,0.000,False
911,Fe2Cl6,162,2.000,True
912,TiSb2,164,0.000,False
913,VBr2,164,3.000,True
914,Hf2I6,189,1.951,True
915,ZnF2,115,0.000,False
916,ZrO2,115,0.000,False
917,Ti2CO2,164,0.000,False
918,W2F2N,164,0.000,False
919,Y2H2NO2,164,0.000,False
920,InPt5Br2,123,0.000,False
921,Cu2ReI6,147,2.994,True
922,Bi2Cl6,162,0.000,False
923,Ti2I6,189,2.000,True
924,V2I6,162,4.000,True
925,Y2Cl6,162,0.000,False
926,CrMo3Se8,25,0.000,False
927,MoW3Se8,25,0.000,False
928,Hf3ZrSe8,6,0.000,False
929,Co2Li2As2,129,0.000,False
930,HfSb2,164,0.000,False
931,Hf4Br4S4,31,2.489,True
932,VBrI,156,3.000,True
933,Mn2Br2Se2,59,8.000,True
934,V4C3O2,164,0.000,False
935,Zr4Br4Se4,31,3.145,True
936,TiClI,156,0.000,False
937,Ir2Cl2Se2,59,0.000,False
938,Os2Cl2S2,59,0.000,False
939,Ti4Cl4Se4,31,3.838,True
940,Cr2I2Se2,59,6.000,True
941,Ge2I2S2,59,0.000,False
942,HfSSe,156,0.000,False
943,Ir2I2S2,59,0.000,False
944,MoSTe,156,0.000,False
945,WSTe,156,0.000,False
946,Ag2Br2Se4,4,0.000,False
947,Cu2Br2Te4,17,0.000,False
948,Cd2P2S6,162,0.000,False
949,Ge2P2S6,162,0.000,False
950,Pd2P2S6,162,0.000,False
951,Sc2P2Se6,157,0.000,False
952,Hf2Ti2Se8,28,0.000,False
953,MnZrI6,149,5.000,True
954,Cu2Te2,59,0.000,False
955,Hf2Te10,59,0.000,False
956,Mg2Cl4,51,0.000,False
957,Sc4F2N3,164,0.000,False
958,Nb3Cl8,156,0.945,True
959,Pt4I8,14,0.000,False
960,Ta4Te6,12,0.000,False
961,Y2Te6,129,0.000,False
962,As4Ge4Se4,17,0.000,False
963,Cd4I4O4,14,0.000,False
964,CrGa2S4,164,3.620,True
965,Cu2Sb2Se4,26,0.000,False
966,Ga2In2S6,31,0.000,False
967,Hg4Mo2O8,13,0.000,False
968,K2Cl2O6,11,0.000,False
969,Mo2Zn2O8,13,0.000,False
970,V2H2O5,12,2.000,True
971,Na4As4O8,14,0.000,False
972,Nb2Ni2Te10,51,0.000,False
973,NiCl2O8,147,2.000,True
974,OsCl2O,47,0.000,False
975,Pd4P4Se4,13,0.000,False
976,Sr2Cl4O8,125,0.000,False
977,Hf4C3F2,164,0.000,False
978,Zn4Br4O4,14,0.000,False
979,Cu2C2Cl2O2,31,0.000,False
980,Mn2H4O8S2,7,10.000,True
981,Zr3B2F2Se2,187,0.000,False
982,Hf3C2H2O2,187,0.000,False
983,V3C2H2Se2,38,0.000,False
984,Zr3C2F2,187,0.000,False
985,Ti3N2O2,187,0.000,False
986,Y4C3H2O2,164,0.000,False
987,Hf3N2,187,0.000,False
988,Zr4N3O2,164,0.000,False
989,Mn4N3,164,7.058,True
990,Al2O2,187,0.000,False
991,Tl2Br2,12,0.000,False
992,Cd2Te2,164,0.000,False
993,Sc2Cl2,164,1.499,True
994,Co2Se2,164,0.000,False
995,Cr2S2,164,2.504,True
996,Cu2Te2,164,0.000,False
997,Mo2F2,164,0.000,False
998,Rh2F2,164,4.369,True
999,HgI2,115,0.000,False
1000,Ga2S2,164,0.000,False
1001,GeS,156,0.000,False
1002,Hg2I2,164,0.000,False
1003,V2CO2,164,0.000,False
1004,Ni2S2,123,0.964,True
1005,Rh2S2,164,0.000,False
1006,MgF2O2,164,0.000,False
1007,Y2F2N,164,0.000,False
1008,Zr2Se2,187,0.000,False
1009,Tl2Te2,123,0.000,False
1010,Zr2NO2,164,0.000,False
1011,ScH2O2,164,0.000,False
1012,ZnH2O2,164,0.000,False
1013,Sc2CH2O2,164,0.000,False
1014,CuCl2,115,0.000,False
1015,MgCl2,164,0.000,False
1016,PtO2,164,0.000,False
1017,Mo2Se4,11,0.000,False
1018,Sc2N,164,0.000,False
1019,NiBr2,164,2.000,True
1020,NiS2,187,0.000,False
1021,PbCl2,164,0.000,False
1022,PbSe2,187,0.000,False
1023,Re4Se8,2,0.000,False
1024,RuBr2,164,0.000,False
1025,HfSTe,156,0.000,False
1026,SnI2,164,0.000,False
1027,Zr2H2NO2,164,0.000,False
1028,Ag2WTe4,111,0.000,False
1029,TaTe2,164,0.000,False
1030,TiH2,187,0.000,False
1031,TiSe2,115,0.000,False
1032,WSe2,187,0.000,False
1033,AlNi5I2,123,0.000,False
1034,Rh2Br6,162,0.000,False
1035,ZnI2,164,0.000,False
1036,ZrO2,164,0.000,False
1037,Zr2BS2,164,0.000,False
1038,Ti2CF2,164,0.000,False
1039,InNi5Cl2,123,1.287,True
1040,As2I6,162,0.000,False
1041,Bi2F6,147,0.000,False
1042,Fe2I6,162,2.000,True
1043,Hf2O6,59,0.000,False
1044,Ir2I6,162,0.000,False
1045,Ti2O6,59,0.000,False
1046,CrMo3Te8,25,0.000,False
1047,MoW3Te8,25,0.000,False
1048,Hf3ZrTe8,25,0.000,False
1049,Co2Na2As2,129,0.000,False
1050,Na2Ni2As2,129,0.000,False
1051,BiBrSe,156,0.000,False
1052,HfBrCl,156,0.000,False
1053,Hf2Br2Se2,59,0.000,False
1054,VBrI,156,3.000,True
1055,Ti2Br2N2,59,0.000,False
1056,Rh2Br2O2,59,0.000,False
1057,Pd2Br2S2,59,0.000,False
1058,Zr2Br2S2,59,0.000,False
1059,Ca2Fe2Si2,129,0.000,False
1060,Hf2Cl2S2,59,0.000,False
1061,Mn2Cl2N2,59,5.994,True
1062,CrSSe,156,0.000,False
1063,Fe2Sr2Ge2,129,3.778,True
1064,Ir2I2Se2,59,0.000,False
1065,Ta2I2N2,59,0.000,False
1066,Ti4I4S4,7,3.346,True
1067,MoSeTe,156,0.000,False
1068,Ag2Br2Te4,4,0.000,False
1069,CF2Si,156,0.000,False
1070,Ni2H2O4,11,0.000,False
1071,Mo4N3,164,0.000,False
1072,Cd2P2Se6,162,0.000,False
1073,Pd2P2Se6,162,0.000,False
1074,Hf2Ti2Te8,25,0.000,False
1075,FeHfF6,149,0.000,False
1076,NiZrBr6,149,2.000,True
1077,As8Ge4,26,0.000,False
1078,Hf3Te2,123,0.000,False
1079,Nb3Te6,12,0.000,False
1080,Pt2Te2,164,0.000,False
1081,Ag2I2,164,0.000,False
1082,Y2Cl2,164,1.525,True
1083,Al2Mg2Se5,164,0.000,False
1084,Co8Ta4Te8,59,0.000,False
1085,Ga2Ge2Te2,164,0.000,False
1086,Hg4W2O8,13,0.000,False
1087,K2N2O6,11,0.000,False
1088,Mg2P2S6,162,0.000,False
1089,Mo2ZrO8,164,0.000,False
1090,Ni2P2Se5,8,0.000,False
1091,Hg2Pt4Se6,164,0.000,False
1092,Sc2CCl2,164,0.000,False
1093,SrTa2O7,123,0.000,False
1094,Zn4Cl4O4,14,3.604,True
1095,AgVP2Se6,5,2.000,True
1096,SrCl2,164,0.000,False
1097,Ca3Cu2Br2O4,123,0.000,False
1098,Mn2I2Sb2Se4,10,9.938,True
1099,K2Os2F10N2O2,11,2.000,True
1100,C2,191,0.000,False
1101,Ti3B2H2O2,187,0.000,False
1102,Mn3C2H2O2,187,6.871,True
1103,Zr3H2N2S2,187,0.000,False
1104,Cr3C2O2,187,4.080,True
1105,V3N2O2,187,2.994,True
1106,Zr4C3H2O2,164,0.000,False
1107,Bi2Te3,164,0.000,False
1108,Mn4C3F2,164,10.237,True
1109,Au2Se2,10,0.000,False
1110,Ru2F2,164,0.000,False
1111,W2F2,164,0.000,False
1112,Ga2S2,187,0.000,False
1113,Ge2Se2,31,0.000,False
1114,Mn2O2,10,0.537,True
1115,Mo2Se2,164,0.000,False
1116,Ni2S2,164,0.000,False
1117,Ru2S2,129,0.000,False
1118,Tl2Te2,164,0.000,False
1119,AlI2,187,0.000,False
1120,CdBr2,164,0.000,False
1121,CoO2,115,0.000,False
1122,CrI2,115,4.000,True
1123,CrSe2,115,2.000,True
1124,GaI2,187,0.000,False
1125,HfSe2,115,0.000,False
1126,MnO2,164,3.000,True
1127,Sr2N,164,0.000,False
1128,NbS2,164,0.000,False
1129,NiS2,164,0.000,False
1130,RuS2,115,0.000,False
1131,SbSe2,164,0.000,False
1132,ScH2,187,-1.000,True
1133,SnI2,187,0.000,False
1134,SrBr2,187,0.000,False
1135,Ti2I4,11,0.000,False
1136,VS2,115,1.000,True
1137,W2O4,11,0.000,False
1138,ZrBr2,187,0.000,False
1139,HfSTe,156,0.000,False
1140,Ta2BSe2,164,0.000,False
1141,V2CF2,164,0.000,False
1142,Zr2F2N,164,0.000,False
1143,Ta2NS2,164,0.000,False
1144,Bi2S2Se,164,0.000,False
1145,Au2WO4,8,0.000,False
1146,Ag2Br6,162,3.733,True
1147,Cr2Br6,162,6.000,True
1148,Hf2S6,59,0.000,False
1149,Ti2S6,59,0.000,False
1150,Y2I6,162,0.000,False
1151,CrW3S8,25,0.000,False
1152,Ga2Br2O2,59,0.000,False
1153,BiBrSe,156,0.000,False
1154,BiHfSb,156,0.000,False
1155,Co2Br2O2,59,0.000,False
1156,Hf4Br4Se4,31,2.043,True
1157,Ru2Br2O2,59,0.000,False
1158,Zr4Br4S4,31,3.076,True
1159,Fe2Cl2O2,59,2.013,True
1160,Hf4Cl4S4,31,2.472,True
1161,VClI,156,3.000,True
1162,Sn2Cl2N2,59,0.000,False
1163,Ti2Cl2S2,59,0.000,False
1164,Mn2I2Se2,59,8.000,True
1165,Ti2I2N2,59,0.000,False
1166,Rh2I2O2,59,0.000,False
1167,Pd2I2S2,59,0.000,False
1168,Zr2I2Se2,59,0.000,False
1169,TiSSe,156,0.000,False
1170,ZrSTe,156,0.000,False
1171,CH2Si,156,0.000,False
1172,Zn2P2S6,162,0.000,False
1173,Hf2Zr2S8,28,0.000,False
1174,FeHfI6,149,0.000,False
1175,NiZrCl6,149,2.000,True
1176,As8Si4,26,0.000,False
1177,Bi6Pt3,157,0.000,False
1178,Hg4I8,115,0.000,False
1179,MgCl2,115,0.000,False
1180,Cu2O4S,21,0.000,False
1181,Zn2Se2,129,0.000,False
1182,Al2Si2Te6,162,0.000,False
1183,Au4I4Te4,14,0.000,False
1184,Bi2MnTe4,164,5.000,True
1185,Ga2MnS4,156,4.388,True
1186,In2Si2Te6,162,0.000,False
1187,Mg2P2Se6,162,0.000,False
1188,Mo2Br4O4,26,0.000,False
1189,Nb6Ge2Te12,26,0.000,False
1190,Ni2SbTe2,187,0.000,False
1191,PbSb2Te4,164,0.000,False
1192,Pt2Ta2Te10,51,0.000,False
1193,Sc2Cl2N,164,0.000,False
1194,VBr2O,25,1.000,True
1195,Zr2Si2Te2,129,0.000,False
1196,AgBiP2Se6,143,0.000,False
1197,CdClHO,156,0.000,False
1198,Li2PtH6O6,147,0.000,False
1199,Mo2Zn2O12Te2,18,0.000,False
1200,Bi2YO4,123,0.000,False
1201,Ni2S2,187,0.000,False
1202,Ti3H2N2Se2,38,0.000,False
1203,Hf3C2O2,187,0.000,False
1204,Sc3F2N2,187,0.000,False
1205,Cr4H2N3O2,164,0.456,True
1206,Y4C3O2,164,0.892,True
1207,Hf4C3,164,1.436,True
1208,Hf2Br2,164,0.000,False
1209,Ga2Se2,187,0.000,False
1210,Hf2S2,164,0.000,False
1211,Tl2I2,12,0.000,False
1212,In2S2,187,0.000,False
1213,Ir2S2,25,0.000,False
1214,Mn2O2,187,1.599,True
1215,Nb2Se2,164,0.000,False
1216,Sc2O2,129,0.000,False
1217,Tl2Te2,187,0.000,False
1218,AlI2,164,0.000,False
1219,Ir2O4,11,0.000,False
1220,CoO2,164,0.997,True
1221,CoTe2,187,0.000,False
1222,CrSe2,187,0.000,False
1223,RuCl2,164,0.000,False
1224,FeI2,115,4.000,True
1225,GaI2,164,0.000,False
1226,GeI2,164,0.000,False
1227,HfH2,187,0.000,False
1228,HfSe2,164,0.000,False
1229,MgI2,164,0.000,False
1230,NiCl2,164,2.000,True
1231,Ni2Se4,14,0.000,False
1232,Os2Se4,11,0.000,False
1233,PbSe2,164,0.000,False
1234,SnO2,115,0.000,False
1235,SrBr2,164,0.000,False
1236,Ta2Br4,11,0.000,False
1237,Ta4O8,12,0.000,False
1238,TiI2,187,0.000,False
1239,TiSe2,187,0.000,False
1240,TlI2,187,0.000,False
1241,VS2,164,0.491,True
1242,ZnI2,115,0.000,False
1243,Zr2Cl4,11,0.000,False
1244,ZrS2,115,0.000,False
1245,Mo2BSe2,164,0.000,False
1246,Ti2BSe2,164,0.000,False
1247,Y2CO2,164,1.860,True
1248,MgH2O2,164,0.000,False
1249,Hf2NO2,164,0.000,False
1250,Ti2NS2,164,0.000,False
1251,Bi2SeTe2,164,0.000,False
1252,Ti2CH2O2,164,0.000,False
1253,CuSr2I2O2,123,0.000,False
1254,Cr2Cl6,162,6.000,True
1255,Hf2Se6,59,0.000,False
1256,Ir2S6,7,0.000,False
1257,Rh2Cl6,162,0.000,False
1258,CrW3Se8,25,0.000,False
1259,AsBrS,156,0.000,False
1260,NbAsSb,156,0.000,False
1261,BiBrTe,156,0.000,False
1262,BiHfSb,156,0.000,False
1263,Co2Br2S2,59,0.000,False
1264,Ga2Br2S2,59,0.000,False
1265,Sc2Br2O2,59,0.000,False
1266,BrSbSe,156,0.000,False
1267,Hf2Cl2Se2,59,0.000,False
1268,Mn2Cl2Se2,59,8.000,True
1269,Ti4Cl4S4,31,3.573,True
1270,Zr2Cl2Se2,59,0.000,False
1271,Fe2I2S2,59,0.000,False
1272,Li2H2O2,129,0.000,False
1273,HfSeTe,156,0.000,False
1274,Ru2I2O2,59,1.764,True
1275,Pd2I2Se2,59,0.000,False
1276,Na2Ni2P2,129,0.000,False
1277,VSSe,156,0.950,True
1278,ZrSTe,156,0.000,False
1279,Ag2Cl2Se4,4,0.000,False
1280,Cu2Cl2Se4,17,0.000,False
1281,Hf2P2S6,2,0.000,False
1282,Nb2P2S6,162,0.000,False
1283,Pt2P2S6,162,0.000,False
1284,Zn2P2Se6,162,0.000,False
1285,Hf2Zr2Se8,28,0.000,False
1286,FeZrBr6,149,0.000,False
1287,NiZrF6,5,0.000,False
1288,As4O6,4,0.000,False
1289,Zr2Br2,164,0.000,False
1290,Bi8Rh4,2,0.000,False
1291,Fe2Se2,129,0.000,False
1292,In2Te5,12,0.000,False
1293,Bi4Sr2O8,11,0.000,False
1294,CoCl2O8,147,3.000,True
1295,In2Zn3S6,156,0.000,False
1296,Mo2Ta2O11,164,0.000,False
1297,Nb6Si2Te12,26,0.000,False
1298,Nb2PdS6,12,0.000,False
1299,Ni4Ta2Te6,11,0.000,False
1300,Sc2P2S8,2,0.000,False
1301,Ta6Si2Te12,26,0.000,False
1302,VCl2O,25,1.000,True
1303,Zr2Ge2Te8,31,0.000,False
1304,AlLiP2S6,5,0.000,False
1305,CdGaInS4,156,0.000,False
1306,CdC4Cl2H4N2,10,0.000,False
1307,Zr3B2H2O2,187,0.000,False
1308,Mn3C2O2,187,6.598,True
1309,Y3N2O2,187,0.990,True
1310,Hf4H2N3O2,164,0.000,False
1311,Hf3C2,187,1.561,True
1312,Nb3N2,187,0.000,False
1313,Zr4C3O2,164,0.000,False
1314,Sc4N3,164,1.941,True
1315,Ag2O2,10,0.000,False
1316,Al2S2,164,0.000,False
1317,Fe2Se2,164,5.162,True
1318,GeSe,156,0.000,False
1319,Co2F2,164,4.743,True
1320,Cu2Te2,123,0.000,False
1321,In2S2,164,0.000,False
1322,PbO,156,0.000,False
1323,Ti2S2,164,0.000,False
1324,Sc2Se2,129,0.000,False
1325,Sn2Te2,31,0.000,False
1326,Tl2Te2,164,0.000,False
1327,Zr2Te2,164,0.000,False
1328,Al2S4,12,0.000,False
1329,BaBr2,187,0.000,False
1330,CdBr2,115,0.000,False
1331,FeI2,187,4.000,True
1332,Fe2Te4,11,0.000,False
1333,Hf2I4,11,0.000,False
1334,HfSe2,187,0.000,False
1335,VCl2,164,3.000,True
1336,MnO2,187,0.957,True
1337,Mo2O4,11,0.000,False
1338,MoSe2,187,0.000,False
1339,Ti2N,164,1.039,True
1340,NbS2,115,0.000,False
1341,NiCl2,115,0.000,False
1342,VS2,187,0.953,True
1343,Zr2CO2,164,0.000,False
1344,Pt2S4,14,0.000,False
1345,ZrS2,164,0.000,False
1346,Nb2BO2,164,0.000,False
1347,V2BSe2,164,0.000,False
1348,Y2CF2,164,0.000,False
1349,SnO2,164,0.000,False
1350,TiTe2,187,0.000,False
1351,WO2,187,0.000,False
1352,W2Te4,11,0.000,False
1353,Zn2S4,14,0.000,False
1354,MgH2S2,164,0.000,False
1355,Mn2NO2,164,5.002,True
1356,V2NS2,164,0.000,False
1357,V2CH2O2,164,0.000,False
1358,GaNi5Br2,123,1.091,True
1359,BrSbSe,156,0.000,False
1360,InNi5I2,123,0.000,False
1361,Ag2Cl6,162,3.919,True
1362,Bi2I6,162,0.000,False
1363,Cr2I6,162,6.000,True
1364,Hf2Te6,59,0.000,False
1365,Ir2Se6,11,0.000,False
1366,Rh2I6,162,0.000,False
1367,I6Sb2,162,0.000,False
1368,Ti2Te6,59,0.000,False
1369,CrW3Te8,25,0.000,False
1370,Hf3TiTe8,25,0.000,False
1371,Ti3ZrTe8,25,0.000,False
1372,Rh2Br2S2,59,0.000,False
1373,BiBrTe,156,0.000,False
1374,Co2Br2Se2,59,0.000,False
1375,ZrBrI,156,0.000,False
1376,Co2Cl2O2,59,0.000,False
1377,Ga2Cl2O2,59,0.000,False
1378,Hf4Cl4Se4,31,1.957,True
1379,Ti2Cl2N2,59,0.000,False
1380,Rh2Cl2O2,59,0.000,False
1381,Pd2Cl2S2,59,0.000,False
1382,Zr4Cl4Se4,31,3.144,True
1383,CrSTe,156,0.000,False
1384,Fe2Li2P2,129,0.000,False
1385,Li2H2S2,129,0.000,False
1386,HfSeTe,156,0.000,False
1387,V2I2N2,59,0.981,True
1388,Zr2I2S2,59,0.000,False
1389,Li2Mn2P2,129,2.682,True
1390,VSSe,156,0.642,True
1391,TaSeTe,156,0.000,False
1392,Ag2Cl2Te4,4,0.000,False
1393,Cu2Cl2Te4,17,0.000,False
1394,Hf2P2Se6,2,0.000,False
1395,Hf2Zr2Te8,25,0.000,False
1396,FeZrCl6,149,0.000,False
1397,NiZrI6,149,2.000,True
1398,Ti3B2H2S2,187,0.000,False
1399,As4O6,7,0.000,False
1400,Mn2Se2,129,2.735,True
1401,O8Te4,14,0.000,False
1402,Ru2F8,14,4.000,True
1403,V2F8,14,2.000,True
1404,Zr2Cl2,164,0.000,False
1405,Al2FeS4,164,0.000,False
1406,Ca2Br2H2,129,0.000,False
1407,Co4Br4O4,14,0.000,False
1408,Cu2I4O12,4,1.999,True
1409,Fe2Ta2Te6,11,3.753,True
1410,In2ZnS4,156,0.000,False
1411,MgB2H8,164,0.000,False
1412,Nb2As2Ge2,129,0.000,False
1413,Nb2PdSe6,12,0.000,False
1414,Ni2Ta2Te10,51,0.000,False
1415,Pd6Ta4Te10,59,0.000,False
1416,Pt4Tl2S6,164,0.000,False
1417,Sc2O13Te5,1,0.000,False
1418,Ta2I4O2,47,0.000,False
1419,As2H2O10Te2,4,0.000,False
1420,CdPb2Cl2O2,12,0.000,False
1421,Na2H8I2O4,2,0.000,False
1422,Ni4Ta2Se2Te2,51,0.000,False
1423,MgNa2H4O8S2,2,0.000,False
1424,Sc3C2H2O2,187,0.982,False
1425,Cr3C2F2,187,6.012,True
1426,Zr3N2O2,187,0.000,False
1427,Sc3N2,187,1.689,True
1428,Sc4C3F2,164,0.000,False
1429,Cr4N3O2,164,10.390,True
1430,Al2S2,187,0.000,False
1431,Pt2Cl2,164,0.000,False
1432,Co2Se2,129,0.000,False
1433,Ga2Se2,164,0.000,False
1434,Ge2Te2,31,0.000,False
1435,HgSe,156,0.000,False
1436,Ir2S2,164,0.000,False
1437,Ni2Se2,123,1.116,True
1438,BaBr2,164,0.000,False
1439,Pb2Te2,129,0.000,False
1440,Rh2Se2,164,0.000,False
1441,S2Si2,31,0.000,False
1442,Tl2S2,187,0.000,False
1443,Zn2S2,164,0.000,False
1444,Zr2Te2,187,0.000,False
1445,Al2Se4,12,0.000,False
1446,CaBr2,164,0.000,False
1447,CdCl2,164,0.000,False
1448,Co2S4,14,1.546,True
1449,CrO2,187,0.000,False
1450,GeO2,115,0.000,False
1451,HfI2,187,0.000,False
1452,HfTe2,164,0.000,False
1453,V2N,164,0.000,False
1454,MnBr2,164,5.000,True
1455,MnS2,115,0.838,True
1456,MoO2,187,0.000,False
1457,NiSe2,187,0.000,False
1458,PbI2,164,0.000,False
1459,PdO2,164,0.000,False
1460,RhI2,164,0.952,True
1461,Rh4Se8,2,0.000,False
1462,Ru2Se4,11,0.000,False
1463,ScI2,187,0.971,True
1464,S2Si,164,0.000,False
1465,TiAs2,164,0.000,False
1466,TiTe2,115,0.000,False
1467,YI2,187,0.981,True
1468,ZrSb2,187,0.000,False
1469,Nb2BS2,164,0.000,False
1470,Zr2CF2,164,0.000,False
1471,Ta2CS2,164,0.000,False
1472,Ag2MoTe4,111,0.000,False
1473,OsH2O2,164,0.000,False
1474,Sb2SeTe2,164,0.000,False
1475,Cr2H2NO2,164,5.896,True
1476,InPd5I2,123,0.000,False
1477,Ga2Br6,162,0.000,False
1478,In2Br6,162,0.000,False
1479,Ir2Te6,11,0.000,False
1480,Ni2I6,162,2.000,True
1481,Tl2Br6,162,0.000,False
1482,V2Te6,11,1.235,True
1483,Zr2Br6,189,1.987,True
1484,HfTi3S8,1,0.000,False
1485,TiZr3S8,1,0.000,False
1486,Al2Br2O2,59,0.000,False
1487,AsBrSe,156,0.000,False
1488,TaAsSb,156,0.000,False
1489,BiTiSb,156,0.000,False
1490,Br2Ge2N2,59,0.000,False
1491,Mo2I2S2,59,5.934,True
1492,Zr2Br2N2,59,0.000,False
1493,Rh2Br2Se2,59,0.000,False
1494,BrSbTe,156,0.000,False
1495,Co2Cl2S2,59,0.000,False
1496,Ga2Cl2S2,59,0.000,False
1497,Pt2I2Se2,59,0.000,False
1498,Ru2Cl2O2,59,0.000,False
1499,Pd2Cl2Se2,59,0.000,False
1500,Zr2Cl2S2,59,0.000,False
1501,Fe2Li2Sb2,129,4.874,True
1502,Na2H2O2,129,0.000,False
1503,Zr4I4S4,7,2.871,True
1504,WSSe,156,0.000,False
1505,Ag2I2S4,17,0.000,False
1506,Co2F2O4,11,0.000,False
1507,Hf2P2Te6,2,0.000,False
1508,Ta2P2S6,2,0.000,False
1509,Zr2P2S6,2,0.000,False
1510,Mo2W2S8,25,0.000,False
1511,As4O6,81,0.000,False
1512,Ca2Cl2,129,0.000,False
1513,Fe2O4,59,4.331,True
1514,Mo2O6,11,0.000,False
1515,S8Si4,14,0.000,False
1516,V4O10,11,0.000,False
1517,Zr2Cl2,164,0.000,False
1518,Al2MgS4,164,0.000,False
1519,CuLi2O2,12,0.998,True
