,Formula,SGnumber,Magmom,Magnetic
175,FeTe2,187,1.744,True
176,Bi2Hf,164,0.000,False
177,Mn2Se4,11,1.959,True
178,Mo2Cl4,11,0.000,False
179,Mo2S4,11,0.000,False
180,MoTe2,187,0.000,False
181,Zr2N,164,0.000,False
182,NbSe2,187,0.000,False
183,NiI2,115,1.773,True
184,NiTe2,164,0.000,False
185,Os2O4,11,0.000,False
186,PtCl2,164,1.996,True
187,Pt2Se4,14,0.000,False
188,Li2Rh,187,0.000,False
189,ScO2,187,1.000,True
190,TaS2,187,0.000,False
191,TiBr2,187,0.000,False
192,VSe2,187,0.992,True
193,ZrH2,187,0.000,False
194,ZrSe2,164,0.000,False
195,Ti2NSe2,164,0.000,False
196,Au2MoSe4,111,0.000,False
197,Ag2ReCl6,162,3.000,True
198,W2Cl6,189,0.000,False
199,Cu2Cl6,162,3.985,True
200,Ga2I6,162,0.000,False
201,In2Cl6,162,0.000,False
202,Pt2Te6,11,0.000,False
203,Ru2Br6,162,1.997,True
204,Sc2Br6,162,0.000,False
205,HfZr3S8,1,0.000,False
206,Cr3WS8,25,0.000,False
207,AsBrTe,156,0.000,False
208,BiClS,156,0.000,False
209,BiIS,156,0.000,False
210,TiBrCl,156,0.000,False
211,Cr2Br2S2,59,6.000,True
212,In2Br2S2,59,0.000,False
213,Tl2Br2O2,59,0.000,False
214,BrSSb,156,0.000,False
215,Zr2Cl2N2,59,0.000,False
216,Rh2Cl2S2,59,0.000,False
217,ClSbSe,156,0.000,False
218,Co2I2Se2,59,0.000,False
219,Fe2Sr2Si2,129,0.000,False
220,Ti4I4O4,7,0.000,False
221,Ru2I2S2,59,0.000,False
222,ISbTe,156,0.000,False
223,NbSTe,156,0.000,False
224,VSeTe,156,0.979,True
225,Ti2P2S6,162,1.809,True
226,Cr2Mo2S8,25,0.000,False
227,HfMnI6,149,5.000,True
228,Cr2F4,14,8.000,True
229,In2Te4,1,0.000,False
230,P8Si4,26,0.000,False
231,V4O8,12,0.000,False
232,Ag2Au2Cl8,13,0.000,False
233,Al2ZnS4,156,0.000,False
234,Ba2Mn2Ge2,129,7.298,True
235,Ca2Cl4O8,125,0.000,False
236,Cr2Nb2Se10,11,5.380,True
237,Cu2Hg2Cl2Se2,26,0.000,False
238,Hf2Br2N2,164,0.000,False
239,In2MnSe4,156,4.690,True
240,Li2PdH2,123,0.000,False
241,Mn2P2S6,162,9.966,True
242,Nb2Ge2Sb2,129,0.000,False
243,Nb4Ge2Te8,55,0.000,False
244,PdTa2Se6,12,0.000,False
245,RbTiS2,156,0.579,True
246,Tl2O6Sb2,149,0.000,False
247,Zr2PTe2,164,0.000,False
248,InLiI4O12,2,0.000,False
249,Na2B2H8O8,2,0.000,False
250,NiC6Cl2H4N2,25,2.000,True
251,Ti3C2O2,187,0.000,False
252,BP,187,0.000,False
253,Hf4C3O2,164,0.000,False
254,Ti4C3,164,1.919,True
255,Y4N3,164,0.000,False
256,Mo2Cl2,164,0.000,False
257,Tl2Cl2,12,0.000,False
258,Cu2S2,164,0.000,False
259,Hf2F2,164,0.000,False
260,Pd2F2,164,0.000,False
261,Sc2I2,164,1.494,True
262,Zn2I2,164,0.000,False
263,In2Se2,187,0.000,False
264,Ni2Te2,129,0.489,True
265,Ta2O2,6,0.000,False
266,Pb2S2,129,0.000,False
267,Rh2Te2,123,0.000,False
268,SnS,156,0.000,False
269,W2Se2,164,0.000,False
270,CaCl2,164,0.000,False
271,CoCl2,164,3.000,True
272,Cr2S4,127,4.965,True
273,FeO2,164,2.000,True
274,GeS2,115,0.000,False
275,Hf2Br4,11,0.000,False
276,HgBr2,115,0.000,False
277,Ir4S8,2,0.000,False
278,MnCl2,164,5.000,True
279,PdBr2,164,1.981,True
280,Sc2S4,164,0.000,False
281,VSe2,115,1.000,True
282,TaS2,115,0.000,False
283,ZnBr2,115,0.000,False
284,ZnTe2,115,0.000,False
285,Zr2I4,11,0.000,False
286,Cr2CS2,164,2.076,True
287,Mo2CSe2,12,0.000,False
288,Zr2CS2,164,0.000,False
289,FeH2O2,164,0.000,False
290,Mn2F2N,164,7.600,True
291,Nb2NS2,164,0.000,False
292,V2NSe2,164,0.000,False
293,Co2Br6,162,0.000,False
294,In2I6,162,0.000,False
295,Ni2Te6,11,0.000,False
296,Pb2Te6,4,0.000,False
297,Re2Br6,162,4.000,True
298,Ta2S6,59,0.000,False
299,Zr2I6,189,1.980,True
300,Cr3WSe8,25,0.000,False
301,Al2Cl2O2,59,0.000,False
302,AsISe,156,0.000,False
303,BiClS,156,0.000,False
304,Cr2Br2Se2,59,6.000,True
305,HfBrI,156,0.000,False
306,In2Br2Se2,59,0.000,False
307,Ni2Br2O2,59,1.598,True
308,BrSSb,156,0.000,False
309,In2Cl2O2,59,0.000,False
310,Rh2Cl2Se2,59,0.000,False
311,Co2Li2P2,129,0.000,False
312,Ru2I2Se2,59,0.000,False
313,ISbTe,156,0.000,False
314,MoOS,156,0.000,False
315,NbSeTe,156,0.000,False
316,TaSTe,156,0.000,False
317,VSeTe,156,0.953,True
318,Au2Br2Te4,4,0.000,False
319,Cu2I2Se4,17,0.000,False
320,In2P2S6,149,0.000,False
321,Os2P2S6,157,0.000,False
322,Cr2Mo2Se8,25,0.000,False
323,HfNiBr6,149,2.000,True
324,As4Se6,31,0.000,False
325,Cr2Se2,129,0.711,True
326,Pb2O2,129,0.000,False
327,Sn2O2,31,0.000,False
328,BaF12Sb2,2,0.000,False
329,Fe2P2Se6,162,7.630,True
330,Hf2Cl2N2,164,0.000,False
331,Nb4I2Te12,2,0.000,False
332,Pd3P2S8,164,0.000,False
333,V2Br2O2,59,4.000,True
334,Y2Cl2O4,11,3.965,True
335,Na2C2N2S2,31,0.000,False
336,Ag2Cr2P4S12,13,6.000,True
337,BiCuP2Se6,143,0.000,False
338,K2C4H6O6,2,0.000,False
339,V3C2O2,187,0.000,False
