ACSF_1,ACSF_2,ACSF_3,ACSF_4,ACSF_5,ACSF_6,ACSF_7,ACSF_8,ACSF_9,ACSF_10,ACSF_11,ACSF_12,ACSF_13,ACSF_14,ACSF_15,ACSF_16,ACSF_17,ACSF_18,ACSF_19,ACSF_20
1.694,0.149,1.24,1.394,0.669,0.0,0.018,0.298,1.341,0.028,0.402,0.812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.629,0.056,0.811,1.585,1.725,0.23,1.447,1.231,0.832,0.049,0.521,0.754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.342,0.0,0.043,0.62,0.7,0.0,0.04,0.433,4.354,0.336,2.583,2.771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.386,0.001,0.067,0.802,0.188,0.0,0.0,0.0,5.093,0.472,3.796,4.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.841,0.0,0.001,0.064,2.47,0.214,1.408,1.307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.367,0.012,0.451,2.488,1.541,0.108,0.733,0.978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.355,0.748,2.631,1.612,0.755,0.004,0.141,0.692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.958,0.001,0.055,0.764,5.027,0.28,2.014,2.159,1.025,0.0,0.004,0.134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.816,1.446,3.63,1.391,0.0,0.0,0.0,0.0,0.655,0.0,0.012,0.244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.616,0.0,0.004,0.127,2.625,0.12,1.138,1.468,0.734,0.0,0.001,0.061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.301,1.556,3.125,3.007,1.561,0.021,0.477,1.522,0.465,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.454,0.473,2.198,2.934,1.371,0.003,0.133,0.813,0.608,0.0,0.003,0.109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.778,0.293,0.904,0.587,0.994,0.001,0.079,0.573,1.561,0.0,0.005,0.186,0.918,0.001,0.056,0.501,0.0,0.0,0.0,0.0
2.892,0.035,0.693,2.193,3.087,0.076,1.122,2.632,2.056,0.026,0.512,1.522,2.696,0.391,0.928,0.677,0.0,0.0,0.0,0.0
4.679,0.091,0.807,1.524,4.1,1.011,1.295,0.923,1.238,0.022,0.358,0.798,1.628,0.044,0.5,0.764,1.08,0.27,0.888,0.395
0.78,0.0,0.001,0.059,2.511,0.553,1.84,1.299,1.055,0.001,0.068,0.542,2.14,0.052,0.779,1.605,0.0,0.0,0.0,0.0
2.334,0.298,1.019,1.406,1.075,0.002,0.096,0.615,1.912,0.02,0.352,0.967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.714,0.199,1.379,1.29,0.629,0.0,0.006,0.159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.814,0.7,1.812,0.635,0.83,0.045,0.503,0.762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.526,0.01,0.332,1.444,0.406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.661,0.092,1.015,1.52,0.549,0.0,0.0,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.682,0.126,1.159,1.445,0.569,0.0,0.001,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.577,0.024,0.533,1.575,0.455,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.835,0.053,0.539,0.745,1.325,0.038,0.465,0.786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.91,0.374,0.907,0.297,0.836,0.054,0.543,0.743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.239,0.522,2.449,1.654,0.701,0.001,0.041,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7,0.0,0.04,0.433,3.323,0.185,2.039,3.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.717,0.001,0.061,0.519,3.363,0.25,2.312,2.894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.379,0.28,2.418,2.829,0.719,0.001,0.063,0.525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.737,0.274,1.524,1.154,1.97,0.004,0.162,1.043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.631,0.0,0.006,0.165,3.064,0.233,1.888,2.087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.11,0.228,1.874,2.131,0.686,0.0,0.028,0.368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.327,0.191,2.067,3.023,0.762,0.005,0.162,0.718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.67,0.0,0.018,0.299,3.257,0.112,1.62,3.171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.661,0.0,0.014,0.265,3.225,0.086,1.428,3.194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.714,0.001,0.056,0.501,1.638,0.39,0.981,0.848,0.785,0.011,0.251,0.782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.314,0.26,1.503,1.198,1.436,0.0,0.031,0.551,0.231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.67,0.0,0.018,0.3,3.458,0.173,1.31,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
