ID,Formula,order,d,TM-atom,CO-atom,Spin-Magmom,TM-IonicRadius,CO-IonicRadius,Sum-IonicRadius,TM-CovalentRadius,CO-CovalentRadius,Sum-CovalentRadius,TM-DipolePolarization,CO-DipolePolarization,Sum-DipolePolarization,TM-Electronegativity,CO-Electronegativity,Sum-Electronegativity,TM-Formationheat,CO-Formationheat,Sum-Formationheat,TM-vdwRadius,CO-vdwRadius,Sum-vdwRadius
1063,Ni2I2O2,1,8,Ni,I,2.828427125,55,220,275,110,133,243,49,32.9,81.9,1.91,2.66,4.57,430.1,106.757,536.857,197,198,395
1078,Ti2P2Te6,0,2,Ti,P,2.828427125,86,44,130,136,111,247,100,25,125,1.54,2.19,3.73,473,316.5,789.5,211,180,391
1081,HfNiCl6,0,8,Ag,Hf,1.732050808,67,58,125,128,152,280,55,103,158,1.93,1.3,3.23,284.9,618.4,903.3,211,223,434
1082,Ag2F4,1,10,Ag,S,1.732050808,67,184,251,128,103,231,55,19.4,74.4,1.93,2.58,4.51,284.9,277.17,562.07,211,180,391
1084,Cr3Te4,1,5,Cr,Te,6.92820323,73,221,294,122,136,258,83,38,121,1.66,2.1,3.76,397.48,196.6,594.08,206,206,412
1092,CrGa2Se4,0,5,Cr,Ga,6.92820323,73,47,120,122,124,246,83,50,133,1.66,1.81,3.47,397.48,271.96,669.44,206,187,393
1098,Mn2P2Se6,0,5,Mn,P,5.916079783,66,44,110,119,111,230,68,25,93,1.55,2.19,3.74,283.3,316.5,599.8,205,180,385
1108,Cr2Cu2P4S12,0,5,Cr,P,6.92820323,73,44,117,122,111,233,83,25,108,1.66,2.19,3.85,397.48,316.5,713.98,206,180,386
1109,Fe2Mo2Cl2O8,0,6,Fe,Mo,4.898979486,63,69,132,116,138,254,62,87,149,1.83,2.16,3.99,415.5,658.98,1074.48,204,217,421
1110,Mn2Mo2O12Te2,0,5,Mn,Si,5.916079783,66,26,92,119,116,235,68,37.3,105.3,1.55,1.9,3.45,283.3,450,733.3,205,210,415
